<h>
Information	NP	Information
<h>
Spanish	NP	Spanish
public	JJ	public
service	NN	service
broadcaster	NN	broadcaster
calls	VBZ	call
for	IN	for
'	''	'
debate	NN	debate
'	''	'
over	IN	over
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
Eurovision	NP	Eurovision
participation	NN	participation
<p>
Updated	VBN	update
/	SYM	/
Friday	NP	Friday
,	,	,
11	CD	@card@
Apr	NP	Apr
2025	CD	@card@
22:07	CD	@card@
<p>
The	DT	the
Swiss	JJ	Swiss
city	NN	city
of	IN	of
Basel	NP	Basel
will	MD	will
host	VB	host
the	DT	the
contest	NN	contest
at	IN	at
the	DT	the
St	NP	St
Jakobshalle	NP	Jakobshalle
indoor	JJ	indoor
arena	NN	arena
,	,	,
with	IN	with
the	DT	the
semi-finals	NNS	semi-final
on	IN	on
13	CD	@card@
and	CC	and
15	CD	@card@
May	NP	May
and	CC	and
the	DT	the
final	JJ	final
on	IN	on
17	CD	@card@
May	NP	May
<p>
Spain	NP	Spain
'	POS	'
s	JJ	<unknown>
public	JJ	public
service	NN	service
broadcaster	NN	broadcaster
has	VBZ	have
said	VBN	say
it	PP	it
has	VBZ	have
called	VBN	call
for	IN	for
a	DT	a
"	``	"
debate	NN	debate
"	''	"
over	IN	over
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
participation	NN	participation
in	IN	in
this	DT	this
year	NN	year
'	POS	'
s	JJ	<unknown>
Eurovision	NP	Eurovision
Song	NN	song
Contest	NN	contest
in	IN	in
Switzerland	NP	Switzerland
due	JJ	due
to	TO	to
"	``	"
concerns	NNS	concern
"	''	"
over	IN	over
the	DT	the
situation	NN	situation
in	IN	in
war-torn	JJ	war-torn
Gaza	NP	Gaza
.	SENT	.
<p>
RTVE	NP	<unknown>
has	VBZ	have
sent	VBN	send
a	DT	a
letter	NN	letter
to	TO	to
the	DT	the
European	JJ	European
Broadcasting	NP	Broadcasting
Union	NP	Union
(	(	(
EBU	NP	EBU
)	)	)
,	,	,
which	WDT	which
manages	VBZ	manage
the	DT	the
event	NN	event
,	,	,
"	''	"
requesting	VBG	request
a	DT	a
debate	NN	debate
on	IN	on
the	DT	the
participation	NN	participation
of	IN	of
Israeli	JJ	Israeli
public	JJ	public
television	NN	television
(	(	(
KAN	NP	Kan
)	)	)
"	``	"
in	IN	in
the	DT	the
contest	NN	contest
,	,	,
the	DT	the
Spanish	JJ	Spanish
public	JJ	public
broadcaster	NN	broadcaster
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
The	DT	the
Swiss	JJ	Swiss
city	NN	city
of	IN	of
Basel	NP	Basel
will	MD	will
host	VB	host
the	DT	the
Eurovision	NP	Eurovision
at	IN	at
the	DT	the
St	NP	St
Jakobshalle	NP	Jakobshalle
indoor	JJ	indoor
arena	NN	arena
,	,	,
with	IN	with
the	DT	the
semi-finals	NNS	semi-final
on	IN	on
13	CD	@card@
and	CC	and
15	CD	@card@
May	NP	May
and	CC	and
the	DT	the
final	JJ	final
on	IN	on
17	CD	@card@
May	NP	May
.	SENT	.
<p>
Public	JJ	public
broadcasters	NNS	broadcaster
of	IN	of
participating	VBG	participate
nations	NNS	nation
select	VB	select
the	DT	the
candidate	NN	candidate
to	TO	to
represent	VB	represent
them	PP	them
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
be	VB	be
no	DT	no
Israeli	JJ	Israeli
performer	NN	performer
at	IN	at
this	DT	this
year	NN	year
'	POS	'
s	NN	S
event	NN	event
.	SENT	.
<p>
RTVE	NP	<unknown>
said	VBD	say
it	PP	it
"	``	"
reiterates	VBZ	reiterate
its	PP$	its
support	NN	support
"	''	"
for	IN	for
Eurovision	NP	Eurovision
"	''	"
but	CC	but
also	RB	also
acknowledges	VBZ	acknowledge
the	DT	the
concerns	NNS	concern
that	IN	that
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
participation	NN	participation
of	IN	of
KAN	NP	Kan
public	JJ	public
television	NN	television
are	VBP	be
raising	VBG	raise
within	IN	within
Spanish	JJ	Spanish
civil	JJ	civil
society	NN	society
"	''	"
.	SENT	.
<p>
"	``	"
It	PP	it
would	MD	would
be	VB	be
appropriate	JJ	appropriate
for	IN	for
the	DT	the
EBU	NP	EBU
to	TO	to
recognise	VB	recognise
the	DT	the
existence	NN	existence
of	IN	of
this	DT	this
debate	NN	debate
and	CC	and
provide	VB	provide
a	DT	a
forum	NN	forum
for	IN	for
discussion	NN	discussion
between	IN	between
EBU	NP	EBU
member	NN	member
broadcasters	NNS	broadcaster
on	IN	on
the	DT	the
participation	NN	participation
of	IN	of
Israeli	JJ	Israeli
public	JJ	public
television	NN	television
,	,	,
"	''	"
the	DT	the
statement	NN	statement
added	VBD	add
.	SENT	.
<p>
The	DT	the
EBU	NP	EBU
said	VBD	say
it	PP	it
appreciated	VBD	appreciate
"	``	"
concerns	NNS	concern
and	CC	and
deeply	RB	deeply
held	VBN	hold
views	NNS	view
around	IN	around
the	DT	the
current	JJ	current
conflict	NN	conflict
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
,	,	,
but	CC	but
it	PP	it
added	VBD	add
that	IN	that
all	PDT	all
its	PP$	its
members	NNS	member
were	VBD	be
eligible	JJ	eligible
to	TO	to
compete	VB	compete
at	IN	at
Eurovision	NP	Eurovision
.	SENT	.
<p>
"	``	"
We	PP	we
remain	VBP	remain
in	IN	in
constant	JJ	constant
contact	NN	contact
with	IN	with
those	DT	those
participating	VBG	participate
this	DT	this
year	NN	year
,	,	,
including	VBG	include
RTVE	NP	<unknown>
,	,	,
on	IN	on
all	DT	all
aspects	NNS	aspect
of	IN	of
the	DT	the
contest	NN	contest
,	,	,
"	''	"
it	PP	it
added	VBD	add
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
7	CD	@card@
October	NP	October
survivor	NN	survivor
<p>
Thousands	NNS	thousand
protested	VBN	protest
at	IN	at
last	JJ	last
year	NN	year
'	POS	'
s	JJ	<unknown>
contest	NN	contest
in	IN	in
the	DT	the
Swedish	JJ	Swedish
city	NN	city
of	IN	of
Malm	NP	Malm
?	SENT	?
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
participation	NN	participation
against	IN	against
the	DT	the
backdrop	NN	backdrop
of	IN	of
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
their	PP$	their
apparent	JJ	apparent
references	NNS	reference
to	TO	to
the	DT	the
Hamas	JJ	<unknown>
attack	NN	attack
against	IN	against
Israel	NP	Israel
on	IN	on
7	CD	@card@
October	NP	October
2023	CD	@card@
,	,	,
which	WDT	which
sparked	VBD	spark
the	DT	the
war	NN	war
.	SENT	.
<p>
A	DT	a
survivor	NN	survivor
of	IN	of
that	DT	that
attack	NN	attack
will	MD	will
represent	VB	represent
Israel	NP	Israel
in	IN	in
Basel	NP	Basel
.	SENT	.
<p>
When	WRB	when
Hamas	NP	<unknown>
militants	NNS	militant
killed	VBD	kill
more	JJR	more
than	IN	than
370	CD	@card@
people	NNS	people
at	IN	at
