lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
veto	91	793	187.24	22.47	12.01	218.01	157.15	POSKW
december	139	2109	286.01	59.75	30.53	209.81	130.87	POSKW
resolution	153	3014	314.81	85.39	43.02	172.22	114.65	POSKW
un	238	7100	489.71	201.16	99.67	140.32	83.53	POSKW
week-long	44	253	90.53	7.17	4.03	136.06	170.65	POSKW
seven-day	27	67	55.56	1.9	1.28	121.24	186.78	POSKW
dec	32	128	65.84	3.63	2.17	118.51	179.12	POSKW
antonio	68	888	139.92	25.16	12.98	118.42	139.04	POSKW
guterres	75	1167	154.32	33.06	16.87	110.34	129.42	POSKW
shejaiya	24	68	49.38	1.93	1.25	102.6	184.98	POSKW
truce	124	3065	255.14	86.84	43.31	101.56	98.43	POSKW
unsc	32	193	65.84	5.47	3.06	96.37	169.33	POSKW
khawaja	17	20	34.98	0.57	0.5	95.66	193.62	POSKW
council	165	4973	339.51	140.9	69.79	95.34	82.68	POSKW
abstain	47	516	96.71	14.62	7.65	94.84	147.47	POSKW
usman	17	28	34.98	0.79	0.61	87.26	191.13	POSKW
livemint	19	49	39.09	1.39	0.92	84.13	186.28	POSKW
india	65	1142	133.74	32.36	16.39	83.87	122.08	POSKW
collapse	83	1789	170.78	50.69	25.43	83.05	108.45	POSKW
newsfeed	15	23	30.86	0.65	0.52	78.62	191.73	POSKW
bombardment	130	3840	267.49	108.8	53.92	78.13	84.35	POSKW
secretary-general	63	1181	129.63	33.46	16.9	75.37	117.93	POSKW
ground	213	7972	438.27	225.87	111.17	74.62	63.96	POSKW
pakistan	57	992	117.28	28.11	14.25	74.34	122.67	POSKW
indiscriminate	49	740	100.82	20.97	10.72	74.31	131.14	POSKW
invoke	31	279	63.79	7.9	4.21	72.62	155.9	POSKW
assembly	64	1274	131.69	36.1	18.17	71.1	113.95	POSKW
yotam	16	56	32.92	1.59	0.98	62.82	181.61	POSKW
cricket	17	73	34.98	2.07	1.22	60.93	177.67	POSKW
hostility	81	2168	166.67	61.43	30.55	58.23	92.28	POSKW
draft	49	928	100.82	26.29	13.27	57.9	117.26	POSKW
vote	102	3171	209.88	89.84	44.46	55.36	80.1	POSKW
indian	42	742	86.42	21.02	10.65	53.85	121.73	POSKW
deplore	17	97	34.98	2.75	1.55	52.79	170.86	POSKW
khan	116	3915	238.68	110.92	54.75	52.63	73.09	POSKW
